source,target,company,similarity
feinstein norman,scartozzi stephen p,MLVF,0.871212
fish andrew d.,kent howard,MLVF,0.909091
fish andrew d.,leitzell cynthia f,MLVF,0.945887
fish andrew d.,scartozzi stephen p,MLVF,0.871212
kent howard,leitzell cynthia f,MLVF,0.920996
kent howard,scartozzi stephen p,MLVF,0.871212
leitzell cynthia f,scartozzi stephen p,MLVF,0.869048
abraham spencer,coben lawrence s,NRG,0.834912
abraham spencer,gutierrez mauricio,NRG,0.871212
abraham spencer,killinger elizabeth r,NRG,0.820455
abraham spencer,schaumburg anne c,NRG,0.909091
coben lawrence s,gutierrez mauricio,NRG,0.8
coben lawrence s,schaumburg anne c,NRG,0.834912
gutierrez mauricio,schaumburg anne c,NRG,0.871212
killinger elizabeth r,schaumburg anne c,NRG,0.820455
acosta reboyras juan,luz crespo,FBP,0.940741
aleman aurelio,berges gonzalez orlando,FBP,0.933261
aleman aurelio,garcia calixto,FBP,0.925166
aleman aurelio,lopez-lay ginoris,FBP,0.895585
aleman aurelio,martino emilio,FBP,0.925166
aleman aurelio,odell lawrence,FBP,0.925166
aleman aurelio,pancham cassan,FBP,0.925166
aleman aurelio,power carlos,FBP,0.887949
aleman aurelio,rivera nayda,FBP,0.926926
berges gonzalez orlando,garcia calixto,FBP,0.972136
berges gonzalez orlando,lopez-lay ginoris,FBP,0.934734
berges gonzalez orlando,martino emilio,FBP,0.972136
berges gonzalez orlando,odell lawrence,FBP,0.972136
berges gonzalez orlando,pancham cassan,FBP,0.972136
berges gonzalez orlando,power carlos,FBP,0.934734
berges gonzalez orlando,rivera nayda,FBP,0.925166
garcia calixto,lopez-lay ginoris,FBP,0.963294
garcia calixto,martino emilio,FBP,1
garcia calixto,odell lawrence,FBP,1
garcia calixto,pancham cassan,FBP,1
garcia calixto,power carlos,FBP,0.963294
garcia calixto,rivera nayda,FBP,0.952153
kafka donald,mcdonald michael,FBP,0.962857
lopez-lay ginoris,martino emilio,FBP,0.963294
lopez-lay ginoris,odell lawrence,FBP,0.963294
lopez-lay ginoris,pancham cassan,FBP,0.963294
lopez-lay ginoris,power carlos,FBP,0.925926
lopez-lay ginoris,rivera nayda,FBP,0.930668
martino emilio,odell lawrence,FBP,1
martino emilio,pancham cassan,FBP,1
martino emilio,power carlos,FBP,0.963294
martino emilio,rivera nayda,FBP,0.952153
odell lawrence,pancham cassan,FBP,1
odell lawrence,power carlos,FBP,0.963294
odell lawrence,rivera nayda,FBP,0.952153
pancham cassan,power carlos,FBP,0.963294
pancham cassan,rivera nayda,FBP,0.952153
power carlos,rivera nayda,FBP,0.915529
gibbons john d,murphy thomas p.,WTI,0.864912
krohn tracy w,schroeder stephen l,WTI,0.884384
williford william j,yang sunghee janet,WTI,0.9
cohen martin j,mulligan william c,TFSL,0.919789
cohen martin j,ozan terrence r,TFSL,0.835227
fiala robert a,mulligan william c,TFSL,0.84472
